Hindi,English
बार ,Times 
कृपया ,please 
धन्यवाद ,Thank you 
पिता ,Father 
करेंगे ,do 
भगवान ,God 
क्योंकि ,Because 
लोग ,People 
वाला ,the one 
जानते ,Know 
देख ,See 
छोड़ ,leave 
आज ,Today 
मतलब ,Meaning 
कहाँ ,where 
जीवन ,Life 
आओ ,Come 
जाने ,go 
अधिक ,More 
यही ,This only 
होता ,Would 
सर ,Sir 
मदद ,Help 
रात ,Night 
माँ ,Mother 
लिया ,took 
केवल ,Only 
तुमने ,you have 
सबसे ,To all 
नाम ,Name 
मार ,Kill 
हुए ,happened 
हमेशा ,Always 
याद ,Memory 
कारण ,Reason 
गए ,Went 
आया ,Came 
जानता ,knows 
शायद ,Perhaps 
साल ,Year 
दूर ,away 
हे ,This 
होने ,to be 
फोन ,Phone 
भाई ,Brother 
वास्तव ,really 
शुरू ,Start 
उसकी ,His 
मिला ,found 
जगह ,Place 
कोशिश ,Effort 
कम ,Less 
सच ,Truth 
लग ,lag 
शादी ,Marriage 
पसंद ,Like 
चला ,walked 
इन ,in 
अच्छी ,Good 
तुम्हारी ,yours 
यहां ,Here 
दोस्त ,Friend 
मर ,Die 
कहते ,say 
होना ,Happen 
दुनिया ,World 
तुम्हारा ,yours 
एम ,M 
कह ,Say 
इसके ,Its 
रुको ,wait 
तैयार ,Ready 
बच्चे ,Children 
उन ,Wool 
लो ,Take 
उनके ,Their 
जैसे ,As 
इतना ,This much 
जल्दी ,Quick 
अंदर ,Inside 
श्री ,Mister 
यदि ,If 
पिताजी ,father 
कल ,Tomorrow 
ऊपर ,Above 
देंगे ,will give 
आपके ,Your 
हमारी ,Our 
बताओ ,Tell 
खुद ,Self 
गई ,Went 
अपना ,own 
खैर ,well 
उसने ,He 
वाले ,ones 
चलते ,Go 
रहो ,Stay 
दी ,Gave 
मिलता ,get 
बेहतर ,better 
कार ,car 
बकवास ,Nonsense 
पीछे ,Back 
द्वारा ,By 
मुझसे ,Me 
हाथ ,Hand 
विश्वास ,faith 
पूरी ,Complete 
ना ,No 
महिला ,Woman 
लड़की ,Girl 
आपका ,Yours 
देखने ,to see 
तुमसे ,To you 
लगा ,Put 
उसका ,His 
चल ,Ambulatory 
ओर ,Side 
मिनट ,minutes 
समझ ,Understanding 
बिना ,Without 
बता ,tell me 
तीन ,Three 
सुनो ,Listen 
पैसे ,money 
होगी ,will happen 
दोनों ,Both 
कहना ,Tell 
पुलिस ,Police 
देना ,Give 
पुरुष ,Male 
कहीं ,somewhere 
बना ,made 
परिवार ,Family 
खो ,lost 
दिल ,Heart 
हां ,Yes 
लेने ,to take 
बेटा ,Son 
सोचा ,thought 
आगे ,Ahead 
जहां ,Where 
पागल ,crazy 
सुना ,heard 
जाते ,goes 
चले ,Let's go 
बोल ,Lyrics 
गलत ,Wrong 
ज्यादा ,More 
महसूस ,Feel 
चाहती ,want 
सकती ,can 
यकीन ,faith 
इसलिए ,so 
पी ,P 
डर ,Fear 
आता ,now 
आपकी ,Yours 
लड़का ,Boy 
उह ,uhh 
समस्या ,the problem 
बुरा ,bad 
सुंदर ,beautiful 
छोटे ,small 
बताया ,told 
खत्म ,End 
आने ,to come 
माफ ,sorry 
कमबख्त ,fucking 
यार ,Buddy 
बीच ,between 
दूसरे ,Others 
काफी ,Enough 
भूल ,Mistake 
ध्यान ,Attention 
हुई ,Hui 
तब ,Then 
बेटी ,Daughter 
रहने ,stay 
खेल ,the game 
बड़ा ,Big 
माफी ,Forgiveness 
बच्चों ,children 
शहर ,City  
आह ,Ahh 
पूरा ,Complete 
बदल ,change 
देने ,to give 
देखते ,watching 
देर ,Late 
डाल ,Branch 
बिल्कुल ,Absolutely 
कई ,Many 
वाह ,Wow 
सोच ,Thinking 
भुगतान ,Payment 
जैक ,jack 
बेटे ,son 
मुझ ,Me 
पानी ,Water 
महोदय ,Sir 
आग ,Fire 
देता ,gives 
आते ,coming 
कहां ,Where 
चिंता ,Worry 
रखना ,Keep 
उससे ,from him 
पहली ,First 
बनाने ,make 
गोली ,bullet 
माध्यम ,Channel 
कितना ,How much 
सुरक्षित ,Safe 
देखना ,Look 
वहां ,There 
इससे ,From this 
इसका ,Its 
मारा ,hit 
पत्नी ,Wife 
रहना ,stay 
पार्टी ,the party 
अन्य ,Other 
अच्छे ,good 
हैलो ,Hello! 
महान ,Great 
आए ,Returns 
क्षमा ,Forgiveness 
पिछले ,last 
मारने ,to kill 
रहते ,live 
वादा ,Promise 
राजा ,King 
इंतजार ,Wait 
उनकी ,their 
सुबह ,Morning 
सिर ,Head 
नए ,New 
विचार ,thought 
दोस्तों ,Friends 
योजना ,Plan 
प्राप्त ,get 
घंटे ,hours 
खुश ,Happy  
अंत ,Ending 
करती ,does 
करेगा ,will do 
थोड़ा ,Little 
सम्मान ,respect 
आदेश ,Order 
पूरे ,the whole 
अलग ,apart 
उम्मीद ,Hope 
आर ,R 
पाने ,to get 
औरत ,women 
इतनी ,So much 
लड़के ,boys 
गिर ,fall 
संगीत ,music 
रास्ता ,way 
युद्ध ,war 
रास्ते ,ways 
हमारा ,Our 
जारी ,continued 
मन ,Mind 
लड़ाई ,battle 
डाला ,inserted 
शुक्रिया ,Thanks 
मुश्किल ,difficult 
आराम ,Rest 
चुका ,paid off 
प्रिय ,Dear 
झूठ ,Lie 
बंदूक ,gun 
खुशी ,Happiness 
नरक ,hell 
आशा ,Hope 
चुप ,Silent 
उपयोग ,Use 
सवाल ,Question 
आपने ,You 
वैसे ,By the way 
देश ,Country 
रखो ,Please Keep 
असली ,real 
बड़ी ,Big 
जैसा ,As 
सुन ,listen 
हाय ,hi 
चोट ,Injury 
रखा ,kept 
मौत ,Death 
पापा ,Father 
पर्याप्त ,Sufficient 
पुरुषों ,men 
शांत ,quiet 
पुराने ,old 
हंसते ,laughing 
सा ,Like 
दें ,give 
पकड़ ,grasp 
बहन ,Sister 
सामने ,Front 
सुरक्षा ,Security 
खाने ,to eat 
खाना ,Eat 
चाचा ,Uncle 
बन ,become 
अमेरिका ,America 
परेशान ,Worried 
बच्चा ,Child 
सी ,C 
जवाब ,answer 
सेना ,Army 
आसान ,Easy 
पैसा ,money 
ऐसे ,This way 
महीने ,month 
रखने ,to keep 
छोटी ,Small 
अलविदा ,goodbye 
कदम ,step 
अगले ,next 
भाग ,Part 
नमस्ते ,hi 
सारे ,all 
लंबे ,long 
देते ,give 
कॉल ,Call 
छोटा ,Small 
भाड़ ,Screw 
बनाया ,Make 
हमने ,We 
स्थिति ,Situation 
इस्तेमाल ,use 
परवाह ,care 
कैसा ,How? 
होती ,was 
गलती ,Mistake 
राम ,Ram 
नष्ट ,destroyed 
स्वागत ,Welcome 
अजीब ,Strange 
रह ,stay 
व्यक्ति ,Person 
मूर्ख ,Idiot 
तुम्हे ,To you 
सिकंदर ,Alexander 
मै ,me 
मालिक ,Owner 
गंदगी ,dirt 
रखें ,keep 
नौकरी ,Job 
हांक ,hank 
जीत ,Victory 
कंपनी ,company 
लेंगे ,will take 
चारों ,all four 
तस्वीर ,picture 
रहता ,remains 
कहानी ,Story 
खड़े ,standing 
रोक ,Stoppage 
बातें ,things 
अकेले ,Lonely 
किस ,What 
साफ ,Clean 
िलए ,िलए 
मौका ,Opportunity 
भरोसा ,Reliance 
चिल्ला ,screaming 
जहाँ ,where 
कसम ,swear 
सारा ,sara 
करीब ,near 
जान ,to go 
तुलना ,Compare 
इतने ,So much 
कब ,When? 
यात्रा ,Travel 
हमला ,assault 
रक्षा ,protect 
पाया ,Found 
जल्द ,Soon 
पति ,Husband 
गयी ,went 
जहाज ,the ship 
बेबी ,Baby 
हवा ,the air 
आती ,comes 
दरवाजा ,Door 
जाएगी ,will go 
कहता ,says 
स्कॉट ,Scott 
मिलेगा ,will get 
मां ,Mother 
वाली ,the one 
वजह ,Reason 
महत्वपूर्ण ,Important 
जय ,Victory 
अकेला ,alone 
सामान ,stuff 
सो ,So 
रख ,keep 
शामिल ,Involved 
नया ,New 
मिलने ,to meet 
निश्चित ,Fixed 
करनी ,to do 
स्कूल ,School 
जेल ,Jail 
तरफ ,Side 
बड़े ,elder 
पल ,Moment 
अंतिम ,Last 
ब्रायन ,brian 
पैदा ,born 
चार ,Four 
कितने ,How many? 
कहने ,to say 
इंदर ,indar 
इंतज़ार ,wait 
जी ,Yes 
मातृभाषा ,Mother tongue 
अस्पताल ,hospital 
जाँच ,check 
बर्बाद ,Ruined 
दर्द ,Pain 
दिनों ,days 
शॉन ,shaun 
पृथ्वी ,Earth 
महिलाओं ,women 
पूछ ,ask 
लगभग ,About 
नफरत ,Hate 
बताने ,tell 
देखें ,see 
ट्रेवर ,Trevor 
सप्ताह ,Week 
बेशक ,Of course! 
डॉक्टर ,Doctor 
पांच ,Five 
स्पष्ट ,Clear 
लगी ,felt 
इसकी ,his 
तोड़ ,the break 
मजाक ,Joke 
पालन ,Compliance 
यहीं ,right here 
खाता ,Account 
क्षेत्र ,Area 
भर ,Filled 
मामले ,cases 
खबर ,the news 
ज़रूरत ,need 
सड़क ,road 
हत्या ,the killing 
समाप्त ,End 
प्रकार ,Type 
ली ,Took 
संदेश ,Message 
क्लिक ,Click 
माफ़ ,sorry 
शब्द ,Word 
खिलाफ ,Against 
खून ,Blood 
जॉन ,John 
लाने ,to bring 
शक्ति ,Power 
जाए ,go 
फ्यूरर ,Fuhrer 
भोजन ,Meal 
आवाज ,Sound 
हिस्सा ,Part 
कमीने ,Bastard 
वही ,Same 
भेजा ,Sent 
होंगे ,will be 
देगा ,will give 
जानती ,knows 
गधे ,donkey 
रंग ,Colour 
मृत ,dead 
शांति ,Calmness 
आश्चर्य ,Wonder 
बेवकूफ ,Idiot 
शरीर ,Body 
इच्छा ,Desire 
टीम ,Team 
बताना ,Narrate 
बचा ,save 
होते ,was 
कहो ,Say 
आना ,come 
लाइन ,Queue 
मरने ,to die 
व्यापार ,business 
कितनी ,How many 
सं ,no 
दुश्मन ,Enemy 
तेजी ,fast 
स्वीकार ,Accept 
जिस ,That 
जीवित ,alive 
बाकी ,Balance 
पार ,Par 
दस ,Ten 
कमरे ,rooms 
संभाल ,take care 
खोज ,Search 
आसपास ,nearby 
कार्यालय ,office 
बढ़िया ,Excellent 
मिशन ,Mission 
बर्ट ,bert 
खेद ,Regret 
लेकर ,taking 
डौग ,Doug 
चोरी ,Theft 
चेहरे ,faces 
एंडी ,andy 
हम्म ,hmm 
चुके ,finished 
जानेमन ,sweetheart 
राष्ट्रपति ,President 
हथियार ,Weapon 
सरकार ,Government 
पूर्व ,East 
जंगल ,Forest 
बचाने ,save 
लेना ,Take 
मानव ,the human 
बेकार ,Useless 
ग्रह ,Planet 
करके ,by doing 
सोचते ,thinking 
लाया ,brought 
गये ,gone 
नेता ,the leader 
हा ,This 
जांच ,Test 
साथी ,friend 
बैठ ,sit down 
साहब ,Sir 
प्रार्थना ,Prayer 
यीशु ,Jesus 
अनुमति ,Permission 
मजबूत ,Strong 
लड़कियों ,girls 
भेज ,send 
पूछना ,Ask 
विकल्प ,Option 
सीधे ,directly 
खोजने ,find 
सवारी ,riding 
नंबर ,Number 
मैडम ,Madam 
विशेष ,Specific 
दूसरी ,second 
ख्याल ,Care 
उत्तर ,Answer 
दिमाग ,Brain 
मुक्त ,Free 
उनका ,their 
उनमें ,In those 
कॉलेज ,College 
कप्तान ,captain 
हाउस ,House 
निशान ,Mark 
आवश्यकता ,Need 
पेड़ ,Tree 
सारी ,all 
निकल ,Out 
ऐसी ,Such 
श्रीमान ,Mr 
हालांकि ,Although 
जिंदा ,Alive 
पैर ,Feet 
युवा ,youth 
तय ,fixed 
राज्य ,State 
जादू ,Magic 
जानकारी ,Information 
नई ,New 
शॉ ,shaw 
इसमें ,In this 
सुनिश्चित ,ensure 
बुरी ,bad 
पीठ ,Back 
समुद्र ,Sea 
पड़ा ,lay down 
व्हाइट ,white 
गर्म ,warm 
कोड ,code 
कठिन ,difficult 
मुसीबत ,Trouble 
लायक ,Worthy 
सोने ,gold 
छह ,Six 
रेडियो ,Radio 
समझते ,understand 
करोगे ,will do 
दरवाजे ,doors 
सेकंड ,seconds 
भविष्य ,Future 
जला ,burn 
सामान्य ,General 
कोडी ,puzzles 
खाली ,below 
निर्णय ,decision 
दूसरों ,others 
गति ,motion 
नियंत्रण ,Control 
गंभीर ,serious 
आँखें ,eyes 
चाल ,move 
परमाणु ,atom 
बिस्तर ,Bed 
अधिकार ,right 
गायब ,Missing 
कपड़े ,Clothes 
लक्ष्य ,target 
तेज ,Quick 
प्रेज़ीडेंट ,President 
दौरान ,during 
चलिए ,Let go 
जाती ,caste 
तरीका ,Method 
चेहरा ,the face 
उड़ान ,flight 
जबकि ,Whereas 
जिम ,gym 
ड्राइव ,Drive 
तुरंत ,Immediately 
लानत ,damn 
निर्माण ,Construction 
दूसरा ,Second 
ग्रन्ट्स ,grunts 
संभव ,possible 
कुतिया ,Bitch 
सक्षम ,Able 
कॉफी ,Coffee 
विंसेंट ,vincent 
सावधान ,Attention 
पहुँच ,Access 
सांस ,Breath 
प्रवेश ,Entry 
सपना ,the dream 
बिजली ,Electricity 
पेले ,Pele 
इंजन ,engine 
तरीके ,methods 
लड़कों ,boys 
दुकान ,Shop 
संपर्क ,contact 
सेवा ,service 
पूछा ,Asked 
चुकी ,finished 
बुला ,Call 
मारो ,Beat 
अलावा ,apart from 
करूँगा ,will do 
फेंक ,throw 
ड्रैगन ,Dragon 
नमस्कार ,Hello 
उठो ,get up 
पक्ष ,Party 
बीमार ,Sick 
धीरे ,Slow 
भारी ,Heavy 
पकड़ो ,hold on 
मिले ,meet 
प्रभु ,Lord 
लगाने ,to put 
ओक्जा ,Okja 
खा ,Eat 
सहमत ,agree 
रिपोर्ट ,Report 
मृत्यु ,death 
चाय ,Tea 
बैठक ,meeting 
सात ,Seven 
खराब ,Bad 
आत्मा ,Soul 
नुकसान ,damage 
खर्च ,Expenditure 
पड़ता ,falls 
लाख ,million 
समझा ,understood 
निकाल ,take out 
बिलकुल ,Absolutely 
प्लीज़ ,please 
बारी ,turn 
भूमि ,land 
लेते ,take 
खींच ,pull 
दूँगा ,will give 
जमीन ,land 
कार्य ,Work 
सामना ,face 
बजे ,time 
आई ,I 
प्रकाश ,Light 
लें ,take 
सूअर ,Pig 
चाची ,Aunt 
लेफ्टिनेंट ,lieutenant 
देखेंगे ,will see 
चीजें ,things 
छोड़ने ,leaving 
पीछा ,chase 
बढ़ ,increase 
भाग्यशाली ,lucky 
गर्व ,Proud 
ताकि ,So that 
टूट ,break 
शानदार ,Fabulous 
उच्च ,High 
भाग्य ,Luck 
टायर ,Tire 
पहला ,First 
ओम ,Om 
डी ,D 
तेरे ,Your 
सौदा ,deal 
काट ,cutting 
कराह ,groan 
खूबसूरत ,Beautiful 
बनाना ,Make 
गड़बड़ ,Mess 
फैसला ,Decision 
ज़रूर ,Sure 
प्रतीक्षा ,waiting 
थोड़ी ,a little 
वर्ष ,year 
नही ,No 
दिखाने ,to show 
परिवर्तन ,change 
समुद्री ,marine 
आनंद ,happiness 
रोकने ,to stop 
सूट ,Suit 
शिकार ,Hunt 
मारे ,killed 
साइमन ,Simon 
मील ,miles 
जानना ,Know 
वक्त ,time 
सैम ,Sam 
धोखा ,Danger 
चिंतित ,Concerned 
जन्मदिन ,birthday 
टीवी ,TV 
कल्पना ,imagination 
पा ,Pa 
बधाई ,Congrats 
होटल ,Hotel 
पुरानी ,Old 
इसी ,This  
हिम्मत ,Courage 
राहुल ,A male name 
हेलो ,hello 
लाल ,Red 
समर्थन ,Support 
जिसे ,whom 
कार्ड ,card 
डैनी ,danny 
चलें ,let's go 
बेच ,sell 
डॉलर ,Dollar 
जाएंगे ,will go 
जाएँ ,go to 
माफ़ ,sorry 
ए ,A 
गले ,throat 
बदलने ,to change 
प्यारी ,cutie 
भयानक ,Horrible 
अचानक ,Suddenly 
कानून ,Law 
उसी ,the same 
खतरनाक ,Dangerous 
बच ,escape 
स्थान ,place 
भागो ,Run 
रक्त ,blood 
उड़ा ,blow up 
साबित ,proved 
दक्षिण ,South 
उम्र ,Age 
रहें ,stay 
सोचता ,thinking 
सुनने ,listen to 
बैठो ,have a sit 
तलाश ,seek 
शाम ,Evening 
मास्टर ,master 
धत् ,Dhat 
बुलाया ,called 
मानना ,Accept 
व्यस्त ,busy 
ज़्यादा ,more 
दूंगा ,Give 
अप ,Up 
फ़ोन ,phone 
ऐलिस ,Alice 
खड़ा ,Stand 
सोचो ,think about 
करूंगा ,will do 
डॉ ,Dr 
रानी ,Queen 
एलिजाबेथ ,elizabeth 
रो ,Cry 
आये ,came 
करोड़ ,Ten million 
दूरी ,distance 
लेता ,takes 
हार ,Garland 
बज ,Buzz 
एरिक ,Eric 
कीजिए ,do it 
छत ,Roof 
सके ,could 
माता ,Mother 
मिली ,Millie 
देखकर ,after seeing 
देखभाल ,Care 
अध्यक्ष ,Chairman 
पहचान ,Identification 
पूछो ,Ask 
तूफान ,storm 
बैग ,Bag 
किए ,did 
तौर ,manner 
एन ,n 
दीवार ,Wall 
इलाज ,Treatment 
समझे ,understand 
मुख्य ,main 
शराब ,Liquor 
सेट ,set 
कराहना ,to whine 
सज्जनों ,gentlemen 
फर्क ,difference 
राजनीति ,Politics 
कमांडर ,the commander 
प्रणाली ,System 
दिखाई ,appeared 
बम ,the bomb 
जाकर ,by going 
हाल ,Condition 
स्टेशन ,station 
लाओ ,bring 
घुरघुराना ,to grunt 
भारत ,India 
पश्चिम ,West 
जाओगे ,will go 
लेडी ,Lady 
उठा ,picking 
पक्का ,for sure 
लिये ,for 
समाज ,Society 
बाजार ,Market 
विस्फोट ,explosion 
प्रति ,Per 
जोर ,emphasis 
मिलते ,meet 
कमजोर ,weak 
जन्म ,Birth 
एलन ,Allen 
जूडिथ ,Judith 
सूची ,List 
घंटी ,bell 
पे ,Pay 
हमले ,attacks 
गांव ,Village 
सचिव ,Secretary 
इमारत ,building 
आखिरी ,the last 
स्तर ,level 
इंदु ,Indu 
रुक ,stop 
कवर ,cover 
आँखों ,eyes 
आपसे ,from you 
दीजिए ,give it 
स्वान ,swan 
उनसे ,from them 
जाये ,go 
हिट ,Hit 
गुड ,Good 
शो ,Show 
मिलना ,Get 
बोलो ,Say 
भीड़ ,Crowd 
बदला ,Revenge 
समूह ,group 
सीट ,seat 
पत्र ,Letter 
बोलते ,speaking 
तुमको ,To you 
मना ,deny 
अगली ,Next 
भीतर ,within 
वहीं ,There itself 
हाथों ,hands 
टिम ,Tim 
बॉस ,Boss 
सौ ,Hundred 
सेल ,Cell 
करे ,Do 
प्रस्ताव ,proposal 
प्रेमी ,Lover 
अमीर ,Rich 
लगेगा ,it will take 
प्रयोग ,use 
संकेत ,Signal 
पूछने ,to ask 
उम ,um 
शुभ ,auspicious 
हन्ना ,Hannah 
योद्धा ,Warrior 
ऐ ,Aye 
फ़ॉन्ट ,Font 
वर्षों ,years 
गुप्त ,Secret 
चीजों ,things 
साँस ,breath 
खास ,Special 
सबको ,to everyone 
वकील ,Advocate 
परीक्षण ,Test 
अद्भुत ,Wonderful 
कुत्ते ,dogs 
टुकड़ा ,Piece 
निकलना ,Get out 
पीने ,drink 
बैंक ,Bank 
सबूत ,evidence 
अभिमन्यु ,Abhimanyu 
ऊर्जा ,energy 
चलता ,walks 
दिखा ,show 
आइए ,Come 
चाकू ,Knife 
दल ,the party 
हवाई ,Airport 
मम्मी ,Mummy 
इतिहास ,History 
लड़ने ,fight 
चीज ,Thing 
गरीब ,Poor 
जेरी ,Jerry 
विमान ,plane 
शीर्ष ,top 
बाल ,Hair 
सरस्वती ,Saraswati 
सका ,could 
जाऊँगा ,will go 
गिरफ्तार ,Arrested 
ला ,La 
लगे ,engaged 
एहसास ,Feeling 
मस्तिष्क ,Brain 
सीखा ,learned 
देवताओं ,gods 
संपत्ति ,Property 
समीर ,Sameer 
जैरी ,jerry 
उठाया ,raised 
अपराध ,crime 
संख्या ,Number 
तलवार ,Sword 
रहेगा ,will remain 
अभिशाप ,curse 
डाकू ,Dacoit 
वृद्धि ,increase 
लाना ,Bring in 
रिकॉर्ड ,record 
खुला ,open 
बजाय ,instead 
दवा ,Medicine 
अध्ययन ,Study 
भूत ,Evil spirit 
मैनें ,I have 
बारिश ,Rain 
हरा ,Green 
हिरण ,Deer 
खोलो ,open up 
हंसी ,Laughter 
श्रीमती ,Mrs 
प्यारा ,Dear 
चुरा ,stole 
जगदीश ,Jagdish 
जनरल ,general 
रॉक ,Rock 
हस्ताक्षर ,Signature 
प्रभावित ,Affected 
शर्मिला ,Shy 
बदलाव ,shift 
असंभव ,impossible 
अधिकारी ,Officer 
छुट्टी ,Holiday 
ताकत ,Strength 
मिरैन्डो ,mirando 
सपने ,Dreams 
माना ,Agreed 
चाहेंगे ,would like 
चलाने ,run 
लिखा ,wrote 
मौजूद ,Present 
हासिल ,achieved 
भरा ,full 
प्रिया ,priya 
हल ,Plough 
राजकुमारी ,princess 
जरा ,just 
सपनों ,dreams 
मजबूर ,Compelled 
सलाह ,Advice 
प्रत्येक ,each 
एंटोन ,Anton 
खान ,Mine 
हुह ,huh 
प्रेम ,Love 
व्यवहार ,Behaviour 
सोचना ,Thinking 
दिव्या ,Divya 
इंसान ,human being 
स्थानीय ,local 
माइक ,mike 
परेशानी ,Trouble 
हटो ,move away 
हांफते ,panting 
सराहना ,Appreciate 
डैड ,dad 
सैनिक ,the soldier 
नज़र ,vision 
एजेंट ,Agent 
शक ,Doubt 
खेलने ,to play 
चुंबन ,kiss 
आदमियों ,men 
पारित ,pass 
कावेरी ,Kaveri 
कॉपी ,copy 
असल ,good 
लगाना ,Placement 
गहरी ,deep 
डालो ,put in 
कीमत ,price 
खरीदने ,buy 
अलार्म ,Alarm 
फंस ,trapped 
आम ,Mango 
चीज़ ,thing 
शक्तिशाली ,powerful 
चेतावनी ,warning 
चलेगा ,Will work 
छेद ,hole 
चोर ,Thief 
हों ,be 
पाँच ,five 
अमेरिकी ,American 
रखता ,keeps 
एंडर ,ender 
मुलाकात ,appointment 
बच्ची ,Baby girl 
बुलाओ ,Call 
स्टीफन ,stephen 
ट्रक ,truck 
टिकट ,stamp 
वास्तविक ,Real 
भूख ,hunger 
सीमा ,Limit 
बैठे ,sitting 
पड़ेगा ,will have to 
आधा ,half 
पासपोर्ट ,Passport 
जेम्स ,james 
चलना ,Walking 
मंत्री ,Minister 
बताता ,tells 
बनने ,to become 
परोपकारी ,benevolent 
व्यवस्था ,arrangement 
संभावना ,Possibility 
क्लार्क ,clarke 
एल ,l 
मिलकर ,together 
बढ़िया ,Excellent 
कोने ,corner 
आठ ,Eight 
साइकिल ,Bicycle 
प्रयास ,effort 
मज़ा ,fun 
धन ,Wealth 
ओ ,O! 
छोड़कर ,Excluding 
स्टीव ,steve 
मैन ,man 
प्रमुख ,chief 
माता-पिता ,Parents 
व्यक्तिगत ,personal 
बॉक्स ,Box 
शुरुआत ,beginning 
नृत्य ,dance 
पैरों ,feet 
डिंग ,ding 
छात्र ,Student 
जीना ,Live 
दुख ,Sadness 
प्रदर्शन ,Display 
साफ़ ,clean 
दुर्घटना ,an accident 
छाया ,Shadow 
मैक्स ,Max 
बड़ा ,Big 
मार्टिन ,martin 
खूनी ,murderer 
बनाता ,makes 
किसने ,Who? 
आंखों ,eyes 
लिफ्ट ,the lift 
रुकिए ,stop 
शर्म ,Shame 
दादी ,Grandmother 
मुँह ,mouth 
निजी ,Private 
समस्याओं ,the problems 
लटका ,Hang 
मालूम ,Known 
तकनीक ,Technique 
बनना ,to become 
पो ,Po 
खरीद ,Purchase 
जाम ,Jam 
गीत ,song 
पपी ,puppy 
बर्लिन ,berlin 
नेतृत्व ,leadership 
अवसर ,opportunity 
नींद ,Sleep 
बदमाश ,Rogue 
शिवा ,Shiva 
शर्मिंदा ,Ashamed 
तहत ,under 
लूँगा ,will take 
सालों ,years 
घड़ी ,Watch 
रोते ,crying 
शर्त ,Condition 
खतरे ,danger 
गुरू ,Guru 
नशे ,intoxication 
कारों ,cars 
यो ,this 
लड़ ,fighting 
शॉट ,shot 
ज्ञान ,Knowledge 
मिस ,Miss 
पुरस्कार ,award 
पिछली ,previous 
तंग ,Narrow 
गार्ड ,guard 
फिल ,Phil 
कैसी ,How 
दोपहर ,Afternoon 
दस्तक ,Knock 
मूल ,Original 
किनारे ,shore 
निकलो ,get out 
दया ,Mercy 
अजु ,still 
कमरा ,room 
भावना ,Emotion 
संघर्ष ,Conflict 
मुंह ,Mouth 
प्रदान ,provide 
दिखता ,visible 
मशीन ,Machine 
अपमान ,Insult 
जिसका ,Whose 
चलने ,walking 
प्यारे ,darling 
नजर ,vision 
कार्यक्रम ,program 
जानवर ,Animal 
उड़ ,fly 
चुना ,chose 
जाएं ,Go 
विश्व ,World 
खतरा ,hazard 
पढ़ ,read 
बढ़ो ,grow up 
पेट ,stomach 
पैक ,pack 
नाव ,name 
उपहार ,gift 
लौट ,return 
रूसी ,Russian 
वरना ,Otherwise 
लात ,Kick 
स्मार्ट ,Smart 
बातचीत ,Conversation 
एकदम ,At once 
पड़ ,Fall 
अंडे ,eggs 
सैन ,San 
चिल्लाती ,screaming 
मछली ,fish 
मान ,Value 
पांडा ,Panda 
भीख ,alms 
पुष्टि ,confirmed 
खयाल ,care 
लूंगा ,I will take 
मेहनत ,Hard work 
नारंगी ,orange 
